,0
0,76.32992998071369
1,76.67120206310517
2,76.59514396139247
3,76.39290141544458
4,76.66738176551391
5,76.59853357739492
6,75.92036277439306
7,75.44237673760831
8,74.8204728277427
9,73.77235594995717
10,74.35315695111379
11,73.52321193972045
12,72.44748191864242
13,71.87974394896129
14,70.96642018514893
15,70.07001617148565
16,69.30765382045466
17,68.78138549739217
18,69.07780508772684
19,68.82252630475699
20,68.8511814166137
21,68.06342388593094
22,67.87892359038113
23,67.67250829345365
24,67.26633458015587
25,67.58112143485104
26,67.30134723163584
27,67.11913619211175
28,66.8283624690227
29,65.72415913274969
30,64.83266528061695
31,64.0196052420532
32,63.0956762887948
33,62.03669225102778
34,60.76602583794358
35,59.547352184154015
36,58.32234069828739
37,57.126240787862564
38,56.13811462522625
39,56.153361169117815
40,55.67063400548403
41,55.368544417946914
42,55.0331217991526
43,54.611641786815866
44,54.09264211879811
45,53.54971850526087
46,53.05466155018602
47,52.5735053439298
48,52.11604654048688
49,51.647363629452336
50,51.13357064766943
51,50.60712032241266
52,50.028643806573385
53,49.41938179734153
54,49.019271556915164
55,48.534677882288115
56,47.973006696322756
57,47.40402223017116
58,46.95733322654868
